country,code,reason
Afghanistan,EXCLUDE_LIST,No matching data in Penn World Tables
Cape Verde,EXCLUDE_LIST,No matching data in Penn World Tables
Eritrea,EXCLUDE_LIST,No matching data in Penn World Tables
Kiribati,EXCLUDE_LIST,No matching data in Penn World Tables
Kosovo,EXCLUDE_LIST,No matching data in Penn World Tables
Libya,EXCLUDE_LIST,No matching data in Penn World Tables
Marshall Islands,EXCLUDE_LIST,No matching data in Penn World Tables
Micronesia,EXCLUDE_LIST,No matching data in Penn World Tables
Nauru,EXCLUDE_LIST,No matching data in Penn World Tables
Papua New Guinea,EXCLUDE_LIST,No matching data in Penn World Tables
Samoa,EXCLUDE_LIST,No matching data in Penn World Tables
San Marino,EXCLUDE_LIST,No matching data in Penn World Tables
Solomon Islands,EXCLUDE_LIST,No matching data in Penn World Tables
South Sudan,EXCLUDE_LIST,No matching data in Penn World Tables
Swaziland,EXCLUDE_LIST,No matching data in Penn World Tables
Timor Leste,EXCLUDE_LIST,No matching data in Penn World Tables
Tonga,EXCLUDE_LIST,No matching data in Penn World Tables
Tuvalu,EXCLUDE_LIST,No matching data in Penn World Tables
Vanuatu,EXCLUDE_LIST,No matching data in Penn World Tables
West Bank and Gaza,EXCLUDE_LIST,No matching data in Penn World Tables
